config,model,macro_f1_mean,macro_f1_std,abbrev_f1_mean,abbrev_f1_std,typo_f1_mean,typo_f1_std,binary_f1_mean,binary_f1_std
CLEAN,BERTimbau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN,BioBERTpt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM-10,BERTimbau,0.0402,0.0022,0.0,0.0,0.0804,0.0045,0.3072,0.0299
RANDOM-10,BioBERTpt,0.0856,0.0044,0.0,0.0,0.1711,0.0087,0.2809,0.0334
RANDOM-25,BERTimbau,0.0345,0.001,0.0,0.0,0.0691,0.0021,0.3081,0.0073
RANDOM-25,BioBERTpt,0.0857,0.0024,0.0,0.0,0.1714,0.0048,0.3116,0.0284
RANDOM-50,BERTimbau,0.0314,0.0006,0.0,0.0,0.0627,0.0011,0.2922,0.0035
RANDOM-50,BioBERTpt,0.0752,0.0037,0.0,0.0,0.1504,0.0075,0.3314,0.0286
TOP10-R10,BERTimbau,0.1618,0.0832,0.3086,0.1682,0.0149,0.0042,0.267,0.1425
TOP10-R10,BioBERTpt,0.3215,0.0579,0.5953,0.1331,0.0476,0.0178,0.5133,0.128
TOP10-R25,BERTimbau,0.2916,0.0464,0.5553,0.1047,0.0279,0.0123,0.4816,0.0898
TOP10-R25,BioBERTpt,0.3795,0.0063,0.725,0.0046,0.034,0.008,0.6115,0.014
TOP10-R50,BERTimbau,0.3539,0.0188,0.6851,0.038,0.0226,0.006,0.5858,0.0258
TOP10-R50,BioBERTpt,0.3636,0.0243,0.6828,0.0249,0.0444,0.0329,0.5652,0.0061
TOP15-R10,BERTimbau,0.2563,0.079,0.4831,0.1598,0.0294,0.0026,0.4196,0.1439
TOP15-R10,BioBERTpt,0.4069,0.0153,0.7518,0.0077,0.062,0.0287,0.6438,0.0036
TOP15-R25,BERTimbau,0.3873,0.0557,0.7413,0.1029,0.0334,0.0105,0.6492,0.0867
TOP15-R25,BioBERTpt,0.4059,0.0126,0.7708,0.017,0.0409,0.0121,0.6328,0.0213
TOP15-R50,BERTimbau,0.4213,0.0046,0.8108,0.0074,0.0317,0.0023,0.7157,0.0163
TOP15-R50,BioBERTpt,0.4086,0.0148,0.7613,0.0219,0.0558,0.0167,0.6393,0.0197
TOP20-R10,BERTimbau,0.2583,0.0506,0.4715,0.106,0.045,0.0056,0.4462,0.0846
TOP20-R10,BioBERTpt,0.3583,0.0685,0.6621,0.16,0.0544,0.0317,0.5539,0.1484
TOP20-R25,BERTimbau,0.3749,0.0484,0.7156,0.0946,0.0343,0.0055,0.6282,0.0866
TOP20-R25,BioBERTpt,0.4355,0.0166,0.8091,0.0098,0.0619,0.0386,0.6874,0.0174
TOP20-R50,BERTimbau,0.436,0.0172,0.8261,0.0245,0.0459,0.0101,0.7157,0.0366
TOP20-R50,BioBERTpt,0.426,0.022,0.7958,0.0251,0.0561,0.0224,0.6622,0.021
